split,wav_path,duration,duration_hms
long,2194,30464.513999999814,"(8, 27, 45)"
n_test,128,867.5400000000001,"(0, 14, 28)"
train,12956,85781.25099999947,"(23, 49, 41)"
val,128,863.143,"(0, 14, 23)"
