split,wav_path,duration,duration_hms
none,2545,33124.589999999975,"(9, 12, 5)"
test,140,685.4700000000004,"(0, 11, 25)"
train,40257,182598.81000000256,"(50, 43, 19)"
val,140,630.6599999999997,"(0, 10, 31)"
