split,wav_path,duration,duration_hms
none,1976,23469.786999999997,"(6, 31, 10)"
test,420,2428.169999999997,"(0, 40, 28)"
train,18184,105730.95400000007,"(29, 22, 11)"
val,420,2456.677,"(0, 40, 57)"
